,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID
628,629,barneje01,,,1892.0,8.0,26.0,USA,OK,Perkins,1961.0,9.0,9.0,USA,NM,Santa Rosa,Jesse,Barnes,,Jesse Lawrence,Nubby,170.0,72.0,L,R,7/30/1915,8/20/1927,,barneje01,barneje01,barnj102,barneje01,barneje01
629,630,barnejo01,,,1976.0,4.0,24.0,USA,CA,San Diego,,,,,,,John,Barnes,,,,205.0,74.0,R,R,9/16/2000,8/26/2001,,barnejo01,barnejo01,barnj001,barnejo01,barnejo01
630,631,barneju01,,,1911.0,12.0,1.0,USA,NC,Linwood,1963.0,12.0,31.0,USA,NC,Jacksonville,Junie,Barnes,,Junie Shoaf,Lefty,170.0,71.0,L,L,9/12/1934,9/21/1934,,barneju01,barneju01,barnj101,barneju01,barneju01
631,632,barnela01,,,1974.0,7.0,23.0,USA,CA,Bakersfield,,,,,,,Larry,Barnes,,,,195.0,73.0,L,L,4/11/2001,7/31/2003,,barnela01,barnela01,barnl001,barnela01,barnela01
632,633,barnelu01,,,1947.0,4.0,28.0,USA,IA,Forest City,,,,,,,Lute,Barnes,,Luther Owens,,160.0,70.0,R,R,8/6/1972,9/26/1973,,barnelu01,barnelu01,barnl102,barnelu01,barnelu01
633,634,barnere01,,,1904.0,12.0,25.0,USA,AL,Suggsville,1959.0,7.0,3.0,USA,AL,Mobile,Red,Barnes,,Emile Deering,,158.0,70.0,L,R,9/29/1927,9/20/1930,,barnere01,barnere01,barnr104,barnere01,barnere01
634,635,barneri01,,,1959.0,7.0,21.0,USA,FL,Palm Beach,,,,,,,Rich,Barnes,,Richard Monroe,,186.0,76.0,R,L,7/18/1982,9/25/1983,,barneri01,barneri01,barnr101,barneri01,barneri01
635,636,barnero01,,barnero01h,1850.0,5.0,8.0,USA,NY,Mount Morris,1915.0,2.0,5.0,USA,IL,Chicago,Ross,Barnes,,Charles Roscoe,,145.0,68.0,R,R,5/5/1871,9/21/1881,,barnero01,barnero01,barnr102,barnero01,barnero01
636,637,barnesa01,,,1899.0,12.0,18.0,USA,AL,Suggsville,1981.0,2.0,19.0,USA,AL,Montgomery,Sam,Barnes,,Samuel Thomas,,150.0,68.0,L,R,9/14/1921,10/2/1921,,barnesa01,barnesa01,barns101,barnesa01,barnesa01
637,638,barnesk01,,,1957.0,3.0,3.0,USA,OH,Cincinnati,,,,,,,Skeeter,Barnes,,William Henry,,175.0,71.0,R,R,9/6/1983,6/20/1994,Cincinnati,barnesk01,barnesk01,barns001,barnesk01,barnesk01
